dataset,model,auc_roc,auc_pr,accuracy,precision,recall,f1
borrower,random_forest,0.9649310015205871,0.5689129937205777,0.9853436504324078,0.8846153846153846,0.22885572139303484,0.36363636363636365
borrower,lightgbm,0.963026346383808,0.6039893711138997,0.9796995903504779,0.46726190476190477,0.7810945273631841,0.5847299813780261
borrower,xgboost,0.9625370919881305,0.5640116655450247,0.9699590350477925,0.3524027459954233,0.7661691542288557,0.4827586206896552
borrower,catboost,0.9538223201499919,0.5834300858883402,0.9861629494765589,0.7578947368421053,0.3582089552238806,0.4864864864864865
