dataset,model,auc_roc,auc_pr,accuracy,precision,recall,f1
borrower,lightgbm,0.9701983867753221,0.6137824590238181,0.9796995903504779,0.46474358974358976,0.7213930348258707,0.5653021442495126
borrower,catboost,0.9587111733616783,0.5999259281203865,0.9874374146563496,0.8387096774193549,0.3880597014925373,0.5306122448979592
borrower,xgboost,0.9578855998198917,0.532341457363183,0.970323167956304,0.34793187347931875,0.7114427860696517,0.4673202614379085
borrower,random_forest,0.9552296473862143,0.47531082805049085,0.9840691852526172,0.8095238095238095,0.1691542288557214,0.27983539094650206
