dataset,split,threshold_strategy,threshold,model,auc_roc,auc_pr,accuracy,precision,recall,f1
full,group_split(customer_id),target_recall,0.40096745965525027,catboost,0.9939224101979375,0.9140750467273817,0.9936428433827779,0.8571428571428571,0.8246445497630331,0.8405797101449275
full,group_split(customer_id),target_recall,0.265,random_forest,0.9924462310602443,0.8778545233564512,0.9909458678481988,0.7647058823529411,0.8009478672985783,0.7824074074074074
full,group_split(customer_id),target_recall,0.5579357375112963,lightgbm,0.9917048797319393,0.8945766007593551,0.9924869967251011,0.8151658767772512,0.8151658767772512,0.8151658767772512
full,group_split(customer_id),target_recall,0.8071903586387634,xgboost,0.9908572882384217,0.8993656901523432,0.9929685994991331,0.8415841584158416,0.8056872037914692,0.8232445520581114
