dataset,split,model,threshold,precision,recall,f1,accuracy,auc_roc,auc_pr,precision_at_threshold,recall_at_threshold,f1_at_threshold
full,time_split(pseudo_disb_date),random_forest,0.013333333333333334,0.08090614886731391,0.9036144578313253,0.1485148514851485,0.8371057865328156,0.9334558478308499,0.44195129762269847,0.08090614886731391,0.9036144578313253,0.14851485148499766
full,time_split(pseudo_disb_date),xgboost,0.033766068518161774,0.1391465677179963,0.9036144578313253,0.24115755627009647,0.9105975944691732,0.9621292830322542,0.6252334590466062,0.1391465677179963,0.9036144578313253,0.2411575562698652
full,time_split(pseudo_disb_date),lightgbm,0.012519187164977137,0.24271844660194175,0.9036144578313253,0.3826530612244898,0.9541623259778388,0.9693624879581831,0.69908836153637,0.24271844660194175,0.9036144578313253,0.382653061224156
full,time_split(pseudo_disb_date),catboost,0.005027538397323661,0.10901162790697674,0.9036144578313253,0.19455252918287938,0.8823752249266029,0.958798148429376,0.6252086673495993,0.10901162790697674,0.9036144578313253,0.19455252918268726
