dataset,split,threshold_strategy,threshold,model,auc_roc,auc_pr,accuracy,precision,recall,f1
borrower,time_split(pseudo_disb_date),target_recall,0.05339131876826286,xgboost,0.9417790472966628,0.3902461166434043,0.9410929065252391,0.18421052631578946,0.8012048192771084,0.29954954954954954
borrower,time_split(pseudo_disb_date),target_recall,0.018205603391814075,catboost,0.9379766733633272,0.46403376970958443,0.9423240837200493,0.18758815232722145,0.8012048192771084,0.304
borrower,time_split(pseudo_disb_date),target_recall,0.021877702375635757,lightgbm,0.9337358092042952,0.45799411537446305,0.9348423146131263,0.16878172588832488,0.8012048192771084,0.27882599580712786
borrower,time_split(pseudo_disb_date),target_recall,0.0125,random_forest,0.9125656865893286,0.2652429326330568,0.8142816554597974,0.06746987951807229,0.8433734939759037,0.1249442213297635
