iter	Logloss
0	0.5890185701
1	0.5119028562
2	0.4421932763
3	0.3820830902
4	0.3328181969
5	0.2919406408
6	0.2564514334
7	0.2272232178
8	0.2048248904
9	0.1851688568
10	0.1687283476
11	0.1554029862
12	0.141221051
13	0.1307487212
14	0.1227510555
15	0.1157594076
16	0.1094993813
17	0.1043869686
18	0.1004916839
19	0.09610765662
20	0.09248209879
21	0.08922023232
22	0.08651697202
23	0.08399897665
24	0.08197587881
25	0.08026549005
26	0.07859057588
27	0.07715354251
28	0.07546946897
29	0.07451102599
30	0.07268233793
31	0.07162543731
32	0.07060336998
33	0.0694929932
34	0.06874485095
35	0.06808811193
36	0.06725792471
37	0.06660730005
38	0.06582536947
39	0.064892641
40	0.06434766012
41	0.06400599889
42	0.06327266899
43	0.06287172145
44	0.06235412074
45	0.06161706342
46	0.06093983734
47	0.06053739933
48	0.06015920056
49	0.05941191368
50	0.05885933055
51	0.05830314065
52	0.05786752523
53	0.05767742024
54	0.05712401052
55	0.05641169583
56	0.05589907654
57	0.05565224183
58	0.05535680121
59	0.05506842004
60	0.05466851145
61	0.0541491722
62	0.05379709839
63	0.0536004091
64	0.05323666631
65	0.05271681699
66	0.05251308879
67	0.05218615129
68	0.0518349756
69	0.05134118998
70	0.05102132347
71	0.05078713371
72	0.05049084239
73	0.05007940508
74	0.04989074308
75	0.04945489508
76	0.0493124133
77	0.0490814051
78	0.04874961265
79	0.04832593431
80	0.04806535788
81	0.04787020055
82	0.04766060399
83	0.04738475893
84	0.04717561401
85	0.0470109589
86	0.0467094578
87	0.04654455105
88	0.04633793784
89	0.04606681546
90	0.04590157917
91	0.04569363587
92	0.04560393193
93	0.04545576714
94	0.04526478368
95	0.04503607337
96	0.04494836499
97	0.04476077907
98	0.04454145915
99	0.04433375503
100	0.0442319182
101	0.04401325073
102	0.0438739925
103	0.04357374108
104	0.04343522766
105	0.04323587243
106	0.04314991505
107	0.04299386773
108	0.04274414578
109	0.04257577214
110	0.04243933011
111	0.04226832161
112	0.04209009545
113	0.04196597392
114	0.04179225671
115	0.04163522717
116	0.04147635907
117	0.04134123194
118	0.04115168473
119	0.04104707225
120	0.04076594408
121	0.04054446568
122	0.04025399772
123	0.04015484818
124	0.04006158443
125	0.03993924434
126	0.03983938337
127	0.03978118285
128	0.03968430247
129	0.03958531357
130	0.0395161436
131	0.03940153024
132	0.03926992742
133	0.03914748449
134	0.0390871588
135	0.03895252108
136	0.03886409907
137	0.03873503274
138	0.03862096736
139	0.03856086138
140	0.03844315862
141	0.03835759781
142	0.03817301194
143	0.0380570131
144	0.03782746527
145	0.0375709705
146	0.03750029553
147	0.03738738231
148	0.0371769512
149	0.03711260311
150	0.03705749001
151	0.03700734374
152	0.03691292602
153	0.0367968197
154	0.03672111874
155	0.03660053519
156	0.03650945178
157	0.03634352919
158	0.03618479369
159	0.03606299301
160	0.03596153319
161	0.03589281731
162	0.03579738718
163	0.03564438893
164	0.03559123346
165	0.0354293728
166	0.03527756828
167	0.03519939859
168	0.03507897726
169	0.0349560176
170	0.03487387242
171	0.03481088239
172	0.03473637483
173	0.0345954132
174	0.03443705741
175	0.0343592306
176	0.03423700404
177	0.03408203062
178	0.03397116107
179	0.03383879845
180	0.03375342795
181	0.03366417508
182	0.03355724883
183	0.03353013322
184	0.03346637753
185	0.03340700864
186	0.03330490314
187	0.033216668
188	0.03315418978
189	0.03306495204
190	0.03297380306
191	0.0328946879
192	0.03277901962
193	0.03273655351
194	0.03257727458
195	0.03248264035
196	0.03239780303
197	0.03230293326
198	0.03224024163
199	0.03219805237
200	0.03202592631
201	0.03195002775
202	0.03192480599
203	0.03186929307
204	0.03173116253
205	0.03157170797
206	0.03150717445
207	0.03142928618
208	0.03134327707
209	0.03127076273
210	0.03119660384
211	0.03116745575
212	0.03113497535
213	0.03096887839
214	0.03093014724
215	0.03086369926
216	0.03080875844
217	0.03079220199
218	0.0306670226
219	0.03060864838
220	0.03052358497
221	0.03041207776
222	0.03033894472
223	0.03027938803
224	0.03012216388
225	0.03008828346
226	0.03004701639
227	0.03000186532
228	0.02991001442
229	0.02984544359
230	0.02981247459
231	0.02972289013
232	0.02965296182
233	0.02958971824
234	0.02956605052
235	0.02952994907
236	0.02944983092
237	0.02940105318
238	0.02936461127
239	0.02932211858
240	0.02925638709
241	0.02923613533
242	0.02919030852
243	0.02908176987
244	0.02898773773
245	0.02897601236
246	0.02894471184
247	0.02888834032
248	0.02886830354
249	0.02881594754
250	0.0287470466
251	0.02865024765
252	0.02860771444
253	0.02853603131
254	0.02848263789
255	0.0283927468
256	0.02832696779
257	0.02822168285
258	0.02820826575
259	0.02807948546
260	0.02801643713
261	0.02796987783
262	0.02793871956
263	0.02788563388
264	0.0278687595
265	0.0278200053
266	0.02774756487
267	0.02770306054
268	0.02765813501
269	0.02756669457
270	0.02754924184
271	0.02747761554
272	0.02740246893
273	0.02738758981
274	0.02733793007
275	0.02729361795
276	0.02724060245
277	0.02716556492
278	0.02708909979
279	0.02708062925
280	0.02705531257
281	0.02703621943
282	0.02702186093
283	0.0269803299
284	0.02689071096
285	0.02686962686
286	0.02684929121
287	0.0268326355
288	0.02682187462
289	0.02676167145
290	0.02667913174
291	0.02662646929
292	0.02653680454
293	0.02649930693
294	0.02643865032
295	0.02635700367
296	0.02633280415
297	0.02627270708
298	0.02625497218
299	0.02624290752
