dataset,split,model,auc_roc,auc_pr,accuracy,precision,recall,f1
borrower,time_split(pseudo_disb_date),catboost,0.9120138786648566,0.4901459087519456,0.9858888152287149,0.639344262295082,0.23493975903614459,0.3436123348017621
borrower,time_split(pseudo_disb_date),lightgbm,0.9066667903211034,0.45797619004467294,0.9867411686712757,0.5755813953488372,0.5963855421686747,0.5857988165680473
borrower,time_split(pseudo_disb_date),xgboost,0.8974683492944162,0.37910672451896155,0.9802064589449758,0.39195979899497485,0.46987951807228917,0.4273972602739726
borrower,time_split(pseudo_disb_date),random_forest,0.8815551825313377,0.2612463490911152,0.9837105786532816,0.3333333333333333,0.03614457831325301,0.06521739130434782
