dataset,model,threshold,precision,recall,f1,accuracy,auc_roc,auc_pr,precision_at_threshold,recall_at_threshold,f1_at_threshold
borrower,random_forest,0.023333333333333334,0.1363978899773926,0.900497512437811,0.2369109947643979,0.8938552571688666,0.9552296473862143,0.47531082805049085,0.1363978899773926,0.900497512437811,0.2369109947641694
borrower,xgboost,0.14763331413269043,0.14751426242868787,0.900497512437811,0.2535014005602241,0.9029585798816568,0.9578855998198917,0.532341457363183,0.14751426242868787,0.900497512437811,0.2535014005599822
borrower,lightgbm,0.13171781667641594,0.22073170731707317,0.900497512437811,0.3545543584720862,0.9400091033227128,0.9701983867753221,0.6137824590238181,0.22073170731707317,0.900497512437811,0.35455435847176997
borrower,catboost,0.014408965281396598,0.140527950310559,0.900497512437811,0.24311618535930155,0.8974055530268548,0.9587111733616783,0.5999259281203865,0.140527950310559,0.900497512437811,0.243116185359068
