dataset,split,model,auc_roc,auc_pr,accuracy,precision,recall,f1
borrower,time_split(pseudo_disb_date),catboost,0.9401381142775663,0.44345725069882785,0.985036461786154,0.58,0.1746987951807229,0.26851851851851855
borrower,time_split(pseudo_disb_date),xgboost,0.9380404326823313,0.3521677610543694,0.9785017520598541,0.36681222707423583,0.5060240963855421,0.4253164556962025
borrower,time_split(pseudo_disb_date),lightgbm,0.9285556543502984,0.46132295328220174,0.9851311677242163,0.5272727272727272,0.5240963855421686,0.525679758308157
borrower,time_split(pseudo_disb_date),random_forest,0.9186935367757955,0.29112995067719194,0.9838052845913439,0.3333333333333333,0.030120481927710843,0.055248618784530384
