dataset,model,auc_roc,auc_pr,accuracy,precision,recall,f1
borrower,lightgbm,0.9712029614538582,0.6045946925706256,0.9803368229403733,0.4758842443729904,0.736318407960199,0.578125
borrower,xgboost,0.9624450540325081,0.5309965159510944,0.9723258989531179,0.3669250645994832,0.7064676616915423,0.48299319727891155
borrower,catboost,0.961131379452884,0.6187700140581082,0.98698224852071,0.8222222222222222,0.3681592039800995,0.5085910652920962
borrower,random_forest,0.9462276894459454,0.4396836495478271,0.9840691852526172,0.8823529411764706,0.14925373134328357,0.2553191489361702
