dataset,split,model,auc_roc,auc_pr,accuracy,precision,recall,f1
full,time_split(pseudo_disb_date),lightgbm,0.9658186290819006,0.686144046847707,0.9902452883795814,0.7480314960629921,0.572289156626506,0.6484641638225256
full,time_split(pseudo_disb_date),xgboost,0.9605016815071312,0.6424962696311791,0.9859835211667771,0.5454545454545454,0.6506024096385542,0.5934065934065934
full,time_split(pseudo_disb_date),catboost,0.9529699670422285,0.6280743972466707,0.9880670518041481,0.9,0.2710843373493976,0.4166666666666667
full,time_split(pseudo_disb_date),random_forest,0.9186886099193272,0.4059900451017978,0.9848470499100294,0.7142857142857143,0.060240963855421686,0.1111111111111111
