dataset,model,auc_roc,auc_pr,accuracy,precision,recall,f1
full,xgboost,0.9953708829738548,0.8999770021176204,0.9925352753755121,0.7510548523206751,0.8855721393034826,0.8127853881278538
full,catboost,0.9952292506311173,0.8952243646895078,0.9932635411925352,0.8547486033519553,0.7611940298507462,0.8052631578947368
full,lightgbm,0.9940191475855146,0.9095613581025874,0.993536640873919,0.8095238095238095,0.845771144278607,0.8272506082725061
full,random_forest,0.9938332263017257,0.8776220139622232,0.9919890760127447,0.8791946308724832,0.6517412935323383,0.7485714285714286
