dataset,split,threshold_strategy,threshold,model,auc_roc,auc_pr,accuracy,precision,recall,f1
borrower,group_split(customer_id),target_recall,0.023778357814750073,catboost,0.949568539118514,0.5607884508327312,0.9395106915815835,0.223841059602649,0.8009478672985783,0.3498964803312629
borrower,group_split(customer_id),target_recall,0.07800869929197865,lightgbm,0.9391453537867397,0.5950212745421561,0.9281448661144288,0.19358533791523483,0.8009478672985783,0.3118081180811808
borrower,group_split(customer_id),target_recall,0.1255473643541336,xgboost,0.936974885850068,0.5293065045187986,0.9137931034482759,0.166015625,0.8056872037914692,0.27530364372469635
borrower,group_split(customer_id),target_recall,0.0275,random_forest,0.9333163566519626,0.41530008424050086,0.8967443652475439,0.14392059553349876,0.8246445497630331,0.24507042253521127
