dataset,split,model,threshold,precision,recall,f1,accuracy,auc_roc,auc_pr,precision_at_threshold,recall_at_threshold,f1_at_threshold
borrower,time_split(pseudo_disb_date),random_forest,0.006666666666666667,0.04959481361426256,0.9216867469879518,0.09412488465087665,0.7210910124064779,0.9186935367757955,0.29112995067719194,0.04959481361426256,0.9216867469879518,0.09412488465077976
borrower,time_split(pseudo_disb_date),xgboost,0.01667606830596924,0.07621951219512195,0.9036144578313253,0.14058106841611998,0.8263093095937115,0.9380404326823313,0.3521677610543694,0.07621951219512195,0.9036144578313253,0.14058106841597648
borrower,time_split(pseudo_disb_date),lightgbm,0.001897992567054475,0.051617343427391604,0.9036144578313253,0.09765625,0.7374751396912587,0.9285556543502984,0.46132295328220174,0.051617343427391604,0.9036144578313253,0.09765624999989778
borrower,time_split(pseudo_disb_date),catboost,0.0048874891344569205,0.06631299734748011,0.9036144578313253,0.12355848434925865,0.7984657638033905,0.9401381142775663,0.44345725069882785,0.06631299734748011,0.9036144578313253,0.12355848434913128
