dataset,model,auc_roc,auc_pr,accuracy,precision,recall,f1
full,catboost,0.9958160791000487,0.9037616536483895,0.9938097405553027,0.884393063583815,0.7611940298507462,0.8181818181818182
full,xgboost,0.9944334337215996,0.9012014813086551,0.9925352753755121,0.7448559670781894,0.900497512437811,0.8153153153153153
full,random_forest,0.9942230612516054,0.8900330822164975,0.9924442421483841,0.8986486486486487,0.6616915422885572,0.7621776504297995
full,lightgbm,0.993967015811152,0.9120879073917726,0.9931725079654073,0.78125,0.8706467661691543,0.8235294117647058
