dataset,split,model,auc_roc,auc_pr,accuracy,precision,recall,f1
full,time_split(pseudo_disb_date),lightgbm,0.9693624879581831,0.69908836153637,0.9900558765034567,0.7364341085271318,0.572289156626506,0.6440677966101694
full,time_split(pseudo_disb_date),xgboost,0.9621292830322542,0.6252334590466062,0.9859835211667771,0.55,0.5963855421686747,0.5722543352601156
full,time_split(pseudo_disb_date),catboost,0.958798148429376,0.6252086673495993,0.9892035230608959,0.9333333333333333,0.3373493975903614,0.49557522123893805
full,time_split(pseudo_disb_date),random_forest,0.9334558478308499,0.44195129762269847,0.9848470499100294,0.7142857142857143,0.060240963855421686,0.1111111111111111
