dataset,model,auc_roc,auc_pr,accuracy,precision,recall,f1
full,catboost,0.9951918818371053,0.9014037728920432,0.9934456076467911,0.864406779661017,0.7611940298507462,0.8095238095238095
full,xgboost,0.9948532559753164,0.9053566207600621,0.9927173418297679,0.7489711934156379,0.9054726368159204,0.8198198198198198
full,lightgbm,0.9946917858777329,0.9088779900905227,0.9941738734638143,0.815668202764977,0.8805970149253731,0.84688995215311
full,random_forest,0.9910921560594652,0.8760237185274642,0.9918980427856168,0.8943661971830986,0.6318407960199005,0.7405247813411079
