dataset,split,threshold_strategy,threshold,model,auc_roc,auc_pr,accuracy,precision,recall,f1
full,time_split(pseudo_disb_date),target_recall,0.023331757351589374,lightgbm,0.9695723140807239,0.6849961515916415,0.972156454209679,0.33756345177664976,0.8012048192771084,0.475
full,time_split(pseudo_disb_date),target_recall,0.1149246022105217,xgboost,0.9653711545885262,0.6696113251001613,0.9716829245193673,0.3333333333333333,0.8012048192771084,0.47079646017699117
full,time_split(pseudo_disb_date),target_recall,0.02500563493254954,catboost,0.9633250600786673,0.6351286305850977,0.9674211573065631,0.29954954954954954,0.8012048192771084,0.4360655737704918
full,time_split(pseudo_disb_date),target_recall,0.0325,random_forest,0.9286226016352526,0.4081898561820728,0.9347476086750639,0.16940581542351454,0.8072289156626506,0.2800417972831766
